rdata$group,AR,BE,XX,CM,DL,geom,,,UN,LS1,LS2,HS1,HS2
344,0.006428244,0.025803455,0,0.850939837,0.116828491,0.004450529,,,,,,,
345,0.109335545,0.031457228,0.059149197,0.557549532,0.242508505,0.004368653,,,,,,,
346,0.063061666,0,0.024060487,0.6475227,0.265355233,0.004323813,,,,,,,
347,0,0.037476329,0.038221732,0.725232228,0.199072421,0.004500756,,,,,,,
348,0.072168131,0,0,0.772035284,0.155798596,0.004344606,,,,,,,
349,0.161099634,0,0,0.596116135,0.242784907,0.004387212,,,,,,,
350,0.062190678,0,0.088899786,0.62253151,0.22638075,0.004359991,,,,,,,
351,0,0.136949426,0,0.710214038,0.152836635,0.004503931,,,,,,,
352,0,0.103840602,0.047039308,0.715348984,0.133773852,0.004334942,,,,,,,
353,0,0,0.110248382,0.583186642,0.306564988,0.004380914,,,,,,,
354,0,0.163187048,0,0.746638418,0.090174625,0.00428277,,,,,,,
355,0,0,0,0.710333833,0.289666225,0.004360858,,,,,,,
356,0,0,0,0.882154997,0.117847709,0.004513041,,,,,,,
357,0.009737447,0,0.128655562,0.597072438,0.264537293,0.004233317,,,,,,,
358,0.044253034,0,0.102083465,0.8377622,0.015903965,0.004499756,,,,,,,
359,0.065047307,0.02736328,0.009670811,0.671101455,0.226817205,0.004320724,,,,,,,
360,0.175606999,0,0,0.662310275,0.162085329,0.004388547,,,,,,,
361,0,0,0,0.908305499,0.091694562,0.004535468,,,,,,,
