sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Thyridariaceae;Thyridaria;Thyridaria broussonetiae	0	0	3	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;NA;	11	0	0	0	0	0	0	0	0	6	109	9	10	0	0	66	3	21
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Venturiales;Sympoventuriaceae;Ochroconis;	0	0	0	0	0	0	0	0	0	5	6	0	3	4	10	18	0	65
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Cladophialophora;Cladophialophora sp. 20104730d	0	717	2372	76	154	43	8	80	780	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;	2	9	208	0	0	0	0	0	1	70	0	1	0	0	0	1	0	1
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Exophiala;Exophiala xenobiotica	3	0	8	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;NA;	955	0	32	0	0	0	0	0	0	1086	483	354	48	192	219	831	103	356
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;Herpotrichiellaceae;Phialophora;Phialophora sp. NH1-1	0	0	10	0	0	0	0	0	2	0	9	2	66	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Chaetothyriales;NA;;	15	0	0	0	0	0	0	0	0	106	67	7	0	16	4	40	17	46
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Aspergillus;	0	0	1	0	0	0	0	0	0	0	4	11	102	4	0	13	0	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;NA;	38	0	141	14	1	3	3	16	30	60	42	731	6	47	77	18	34	22
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Aspergillaceae;Thysanophora;	2	0	55	4	0	0	0	2	37	2	0	1	0	0	5	0	3	22
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;NA;;	7	0	11	0	0	0	0	0	1	12	26	35	1	9	12	27	24	10
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;NA;	0	0	0	3	2	3	3	0	0	0	0	0	0	2	0	0	0	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Eurotiales;Trichocomaceae;Talaromyces;	0	0	1	1	0	2	1	1	0	3	82	17	6	3	12	13	1	1
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;	2	0	25	0	0	0	0	5	0	14	11	263	13	0	9	10	4	15
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Onygenales;Gymnoascaceae;NA;	2	5	20	24	23	4	0	2	27	0	1	0	0	0	1	0	0	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Onygenales;NA;;	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Eurotiomycetes;Onygenales;Onygenaceae;Keratinophyton;Keratinophyton terreum	0	5	15	25	11	60	995	164	297	0	0	0	0	11	0	0	0	0
