sum.taxonomy	EB01	EB02	EB03	EB04	EB05	EB06	EB07	EB08	EB09	EB10	EB11	EB12	EB13	EB14	EB15	EB16	EB17	EB18
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;NA;;	0	0	0	0	0	0	0	0	0	0	0	0	0	1465	0	2	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;NA;NA;	0	0	0	0	0	0	0	0	0	0	0	0	0	29	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Procladius;;	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Procladius;Procladius sp. BOLD:AAG3918;	0	0	0	0	0	0	14	0	0	5	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Chironomidae;Tvetenia;Tvetenia cf. paucunca SS-2012;	0	0	0	0	0	0	15	0	0	9	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Simuliidae;Simulium;Simulium simile;	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Diptera;Tachinidae;Allophorocera;;	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	0	0	36
Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Anthocoridae;Tetraphleps;Tetraphleps latipennis;	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	1	10
Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Coccidae;NA;;	0	0	0	0	0	0	13	0	0	0	0	0	0	0	0	0	0	17
Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;NA;;;	3	0	0	0	0	0	0	0	0	5	0	2	0	4	1	18	6	45
Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;NA;NA;NA;	33	0	0	0	0	0	0	4	0	255	5	0	10	0	4	0	9	10
Eukaryota;Animalia;Arthropoda;Insecta;Hemiptera;Pentatomidae;Rhacognathus;Rhacognathus americanus;	0	0	0	0	0	1	0	0	0	3	3	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Hymenoptera;Formicidae;Temnothorax;Temnothorax sp. BOLD-2016;	0	0	0	0	0	0	1	0	930	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Hymenoptera;Scelionidae;Phanuromyia;Phanuromyia sp. M372;	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Lepidoptera;Crambidae;Haimbachia;Haimbachia arizonensis;	7	0	0	0	0	0	0	0	0	238	48	17	15	59	32	36	45	221
Eukaryota;Animalia;Arthropoda;Insecta;Lepidoptera;NA;;;	2	0	0	0	0	0	0	0	0	0	18	1	0	0	0	28	16	0
Eukaryota;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Euxoa;Euxoa oncocnemoides;	1	0	0	0	0	0	0	0	0	36	34	2	178	1	8	627	10	291
Eukaryota;Animalia;Arthropoda;Insecta;Lepidoptera;Noctuidae;Sympistis;Sympistis subsimplex;	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0
Eukaryota;Chromista;Ochrophyta;Chrysophyceae;NA;;NA;;	0	16	1	7	0	0	0	3	0	0	0	5	0	0	0	0	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Orthoptera;Tettigoniidae;Steiroxys;NA;	0	0	0	0	0	0	0	0	0	5	0	1	0	0	0	4	0	3
NA;NA;NA;NA;NA;Liposcelididae;Liposcelis;;	0	23	2	39	1	5	2	8	2	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;Liposcelididae;Liposcelis;NA;	0	10	68	107	18	0	5	0	0	0	0	0	0	0	0	0	0	0
NA;NA;NA;NA;NA;NA;;;	0	0	2	4	0	0	0	0	0	0	0	0	0	0	0	0	0	21
NA;NA;NA;NA;NA;Stenopsocidae;Graphopsocus;Graphopsocus cruciatus;	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	133	0
Eukaryota;Animalia;Arthropoda;Insecta;Thysanoptera;NA;NA;NA;	0	0	3	0	0	0	0	0	0	1	0	0	0	0	0	19	0	3
Eukaryota;Animalia;Arthropoda;Insecta;Trichoptera;Oeconesidae;Pseudoeconesus;Pseudoeconesus hudsoni;	0	0	20	316	50	18	508	130	53	0	0	0	0	0	0	4	0	0
Eukaryota;Animalia;Arthropoda;Insecta;Trichoptera;Polycentropodidae;Polycentropus;Polycentropus irroratus;	0	0	0	29	6	0	0	0	0	5	0	0	0	0	0	35	0	0
NA;NA;NA;NA;NA;NA;;;	0	3	1681	187	18	3	0	10	64	0	0	0	0	0	0	0	0	4
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Cercospora;Cercospora sojina;	0	0	0	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Capnodiales;Mycosphaerellaceae;Zasmidium;Zasmidium cellare;	4	0	0	0	0	0	0	0	0	54	18	4	0	0	0	37	29	8
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Didymellaceae;Didymella;Didymella pinodes;	0	8	15	0	0	0	0	1	1	1	0	0	5	2	0	19	0	4
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;;;	6	0	0	0	0	0	76	0	0	7	6	2	11	1	4	31	15	95
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;NA;Shiraia;Shiraia bambusicola;	0	0	0	0	0	0	81	0	0	6	5	0	4	1	1	61	0	36
Eukaryota;Fungi;Ascomycota;Dothideomycetes;Pleosporales;Phaeosphaeriaceae;Parastagonospora;Parastagonospora nodorum;	3	0	0	0	0	0	0	0	0	0	17	2	2	4	1	10	7	13
